iom_source_index,location_pcode,location_name,adm1_name,adm2_name,adm3_name,adm3_pcode,best_candidate_hot_id,best_candidate_hot_name,best_candidate_score,best_candidate_status,accepted_hot_id,accepted_hot_name,accepted_similarity_score,accepted_match_status,accepted_candidate_rank,matching_decision,automatic_acceptance_threshold
8003,N0392,16 Tashreen (ne),Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/572575886,At-Tuweine,41.67,Low confidence,,,,,,Review required,85.0
1202,C8819,Ab Al Naqah,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/3481370811,Ain al-Hara,63.64,Low confidence,,,,,,Review required,85.0
1173,C6441,Abiad,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/3481378423,Abyad,80.0,Review,,,,,,Review required,85.0
8159,N0384,Abo Amsha (ne),Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/571230164,Abu `Amsha',76.19,Review,,,,,,Review required,85.0
7995,N0393,Abo Bakr (ne),Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/571229939,Abu Bakr,73.68,Review,,,,,,Review required,85.0
4785,C4341,Abu Rasin Haskeh,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/12121605283,Abu Rasain,69.23,Low confidence,,,,,,Review required,85.0
8034,N0387,Al Askari (ne),Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/572568688,Al-Hasaka,66.67,Low confidence,,,,,,Review required,85.0
1292,C8766,Al Assaf,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/572568688,Al-Hasaka,70.59,Review,,,,,,Review required,85.0
907,C8619,Al Aziziyah,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/572575157,Al-Mas'udiya,60.87,Low confidence,,,,,,Review required,85.0
1023,C7518,Al Bandashi,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/572574948,Al Bandaji,85.71,High confidence,node/572574948,Al Bandaji,85.71,High confidence,1.0,Accepted,85.0
1025,C7547,Al Berij,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/572575863,Al Harib,62.5,Low confidence,,,,,,Review required,85.0
916,C7486,Al Dawudiyah,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/3461332684,Ad-Dawudiye,78.26,Review,,,,,,Review required,85.0
5107,C7535,Al Dhiyabah,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/572575863,Al Harib,63.16,Low confidence,,,,,,Review required,85.0
964,C6446,Al Faydat,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/572574693,Al Faydat,100.0,Exact,node/572574693,Al Faydat,100.0,Exact,1.0,Accepted,85.0
8247,N0381,Al Gazal (ne),Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/12190717618,Al-Khazna,60.0,Low confidence,,,,,,Review required,85.0
1352,C7499,Al Harmalah,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/3481496468,Harmala,77.78,Review,,,,,,Review required,85.0
1368,C7663,Al Hayshuri,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/572575863,Al Harib,73.68,Review,,,,,,Review required,85.0
1273,C7564,Al Hilwah,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/572574685,Dakhiliyah,63.16,Low confidence,,,,,,Review required,85.0
1258,C7613,Al Jabriyah,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/572575863,Al Harib,63.16,Low confidence,,,,,,Review required,85.0
8153,N0380,Al Kallasa (ne),Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/3461371720,Al-Khama'el,66.67,Low confidence,,,,,,Review required,85.0
8208,N0389,Al Khabour (ne),Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/3461371720,Al-Khama'el,66.67,Low confidence,,,,,,Review required,85.0
7999,N0395,Al Lailia (ne),Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/3461371720,Al-Khama'el,60.87,Low confidence,,,,,,Review required,85.0
8006,N0394,Al Madina Al Riyadia (ne),Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/12219003620,Al-Madina,56.25,Low confidence,,,,,,Review required,85.0
1135,C8620,Al Majaybrat,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/3724369160,lmjybr@,66.67,Low confidence,,,,,,Review required,85.0
7997,N0385,Al Malab Al Baladi (ne),Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/3484031234,Al-Mabtuh al-Oula,63.16,Low confidence,,,,,,Review required,85.0
1256,C8784,Al Maqasem,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/3837575816,lmqsm,66.67,Low confidence,,,,,,Review required,85.0
7952,N0372,Al Mashtal (ne),Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/3484031234,Al-Mabtuh al-Oula,60.0,Low confidence,,,,,,Review required,85.0
7998,N0388,Al Matar Janoubi (ne),Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/12388644162,Nasriye al-Antariye,57.89,Low confidence,,,,,,Review required,85.0
8051,N0391,Al Msaken (ne),Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/12219003620,Al-Madina,57.14,Low confidence,,,,,,Review required,85.0
8143,N0377,Al Mufti (ne),Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/12219003620,Al-Madina,60.0,Low confidence,,,,,,Review required,85.0
5277,C7517,Al Mushirfah,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/3459354590,Ashrah,66.67,Low confidence,,,,,,Review required,85.0
1326,C8861,Al Rashidi,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/572575157,Al-Mas'udiya,63.64,Low confidence,,,,,,Review required,85.0
8249,N0396,Al Rusafa (ne),Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/3481334748,Al-Hafayer,63.64,Low confidence,,,,,,Review required,85.0
867,C8767,Al Sarb,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/572575863,Al Harib,80.0,Review,,,,,,Review required,85.0
973,C7477,Al Sihah,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/3459354590,Ashrah,71.43,Review,,,,,,Review required,85.0
8233,N0397,Al Takadom (ne),Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/3461371720,Al-Khama'el,58.33,Low confidence,,,,,,Review required,85.0
8184,N0374,Al Talae (ne),Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/3461371720,Al-Khama'el,63.64,Low confidence,,,,,,Review required,85.0
8004,N0390,Al Thawra (ne),Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/3461371720,Al-Khama'el,69.57,Low confidence,,,,,,Review required,85.0
8038,N0398,Al Villat (ne),Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/3461371720,Al-Khama'el,52.17,Low confidence,,,,,,Review required,85.0
8007,N0386,Al Wasati (ne),Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/12121605283,Abu Rasain,63.64,Low confidence,,,,,,Review required,85.0
8145,N0383,Al Watani (ne),Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/3461371720,Al-Khama'el,60.87,Low confidence,,,,,,Review required,85.0
7996,N0399,Al Zouhour (ne),Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/3461371720,Al-Khama'el,50.0,Low confidence,,,,,,Review required,85.0
851,C8776,Al-Aaliya,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/3840445367,Al-Karama,66.67,Low confidence,,,,,,Review required,85.0
966,C6447,Al-Ashrah,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/3459354590,Ashrah,80.0,Review,,,,,,Review required,85.0
1120,C8162,Al-Badran,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/572574948,Al Bandaji,73.68,Review,,,,,,Review required,85.0
884,C6440,Al-Farhiyeh,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/3481334748,Al-Hafayer,66.67,Low confidence,,,,,,Review required,85.0
1295,C8614,Al-Hamr,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/572575863,Al Harib,80.0,Review,,,,,,Review required,85.0
7935,C4360,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/572568688,Al-Hasaka,84.21,Review,,,,,,Review required,85.0
1237,C8848,Al-Ibrahimiyah,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/3840445367,Al-Karama,60.87,Low confidence,,,,,,Review required,85.0
943,C6439,Al-Karameh,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/3840445367,Al-Karama,84.21,Review,,,,,,Review required,85.0
1179,C6438,Al-Khamayl,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/3461371720,Al-Khama'el,85.71,High confidence,node/3461371720,Al-Khama'el,85.71,High confidence,1.0,Accepted,85.0
723,C6437,Al-Melbieh,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/3484017227,Al-Jedide,63.16,Low confidence,,,,,,Review required,85.0
1214,C8629,Al-Mushirfah,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/3459354590,Ashrah,66.67,Low confidence,,,,,,Review required,85.0
1072,C8616,Al-Nasri,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/572575863,Al Harib,75.0,Review,,,,,,Review required,85.0
1353,C8115,Alia Mhawesh,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/572568688,Al-Hasaka,57.14,Low confidence,,,,,,Review required,85.0
1236,C9037,Aluni,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/572574557,Tall Tunaynir,55.56,Low confidence,,,,,,Review required,85.0
1026,C8159,Bab Elkheir,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/12365007263,Qabr al-Khalif,56.0,Low confidence,,,,,,Review required,85.0
8209,N0375,Baytara (ne),Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/12263103274,Tell Baidar,57.14,Low confidence,,,,,,Review required,85.0
1213,C7532,Buwaydah,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/572575709,`Uwaysah,80.0,Review,,,,,,Review required,85.0
953,C6442,Dabaghiyeh,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/572574685,Dakhiliyah,60.0,Low confidence,,,,,,Review required,85.0
1332,C8627,Dabah,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/3481378423,Abyad,60.0,Low confidence,,,,,,Review required,85.0
939,C4348,Duwadiyeh Haskeh,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/572568688,Al-Hasaka,48.0,Low confidence,,,,,,Review required,85.0
1061,C4365,Eastern Hamra,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/3481370811,Ain al-Hara,58.33,Low confidence,,,,,,Review required,85.0
888,C4361,Eastern Rajman,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/12312220760,Rajman Gharbi,66.67,Low confidence,,,,,,Review required,85.0
832,C4359,Eastern Taban,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/572575670,Taban Sharqi,64.0,Low confidence,,,,,,Review required,85.0
870,C4367,Ein Elhara,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/3481370811,Ain al-Hara,76.19,Review,,,,,,Review required,85.0
1207,C7489,Fahd as Sayyid,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/12332346077,Sayyed Ali,58.33,Low confidence,,,,,,Review required,85.0
869,C4363,First Mabtuh,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/3484031234,Al-Mabtuh al-Oula,48.28,Low confidence,,,,,,Review required,85.0
1060,C4350,Hafayer,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/3481334748,Al-Hafayer,82.35,Review,,,,,,Review required,85.0
4764,C8958,Hamamah,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/3481496468,Harmala,71.43,Review,,,,,,Review required,85.0
890,C4353,Harmala,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/3481496468,Harmala,100.0,Exact,node/3481496468,Harmala,100.0,Exact,1.0,Accepted,85.0
958,C4375,Hilaliyeh,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/12390956440,Hilaliye,94.12,High confidence,node/12390956440,Hilaliye,94.12,High confidence,1.0,Accepted,85.0
1021,C7501,Hya,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/3483714062,Siha,57.14,Low confidence,,,,,,Review required,85.0
7970,N0400,Industrial (ne),Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/12388644162,Nasriye al-Antariye,56.25,Low confidence,,,,,,Review required,85.0
920,C8625,Izzam,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/12135464760,Umm al-Ma'iz,47.06,Low confidence,,,,,,Review required,85.0
977,C4335,Jdideh,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/3484017227,Al-Jedide,66.67,Low confidence,,,,,,Review required,85.0
1125,C8204,Kawkab,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/571230324,Kawkab,100.0,Exact,node/571230324,Kawkab,100.0,Exact,1.0,Accepted,85.0
1024,C7612,Khasham,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/12332356264,Shama,66.67,Low confidence,,,,,,Review required,85.0
8129,N0371,Khashman (ne),Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/3461371720,Al-Khama'el,63.64,Low confidence,,,,,,Review required,85.0
1371,C4331,Khazneh,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/12190717618,Al-Khazna,62.5,Low confidence,,,,,,Review required,85.0
5412,C4340,Kherbet Elias,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/3484116634,Khirbet Ilyas,76.92,Review,,,,,,Review required,85.0
969,C7579,Khirbat Ghazalah,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/12304223127,Khirbet Ghazal,86.67,High confidence,node/12304223127,Khirbet Ghazal,86.67,High confidence,1.0,Accepted,85.0
1291,C8631,Khirbet Gamus,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/571230035,Khirbet al-Jamus,82.76,Review,,,,,,Review required,85.0
1293,C8843,Khwaitleh Ad-Daraan,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/3461332684,Ad-Dawudiye,53.33,Low confidence,,,,,,Review required,85.0
1077,C4356,Lower Tal Aswad,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/12255827222,Tell Aswad Fouqani,60.61,Low confidence,,,,,,Review required,85.0
968,C7469,Maal Faydat,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/572575278,Ma' al Faydat,95.65,High confidence,node/572575278,Ma' al Faydat,95.65,High confidence,1.0,Accepted,85.0
1450,C4337,Madina,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/12219003620,Al-Madina,80.0,Review,,,,,,Review required,85.0
5318,C6775,Mafraq Siddiq,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/3534153969,Mafraq Siddiq,100.0,Exact,node/3534153969,Mafraq Siddiq,100.0,Exact,1.0,Accepted,85.0
881,C4381,Mahd Elrijleh,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/12388643786,Mahd ar-Rijle,76.92,Review,,,,,,Review required,85.0
5415,C6436,Makhrum,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/3481342153,Makhrum,100.0,Exact,node/3481342153,Makhrum,100.0,Exact,1.0,Accepted,85.0
1071,C8128,Mastor,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/3459354590,Ashrah,50.0,Low confidence,,,,,,Review required,85.0
1121,C4382,Masudiyeh Elbizara,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/572575157,Al-Mas'udiya,60.0,Low confidence,,,,,,Review required,85.0
1165,C4357,Masudiyeh Haska,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/572575157,Al-Mas'udiya,66.67,Low confidence,,,,,,Review required,85.0
8009,N0382,Matar Shamali (ne),Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/3461371720,Al-Khama'el,59.26,Low confidence,,,,,,Review required,85.0
4989,C4362,Matl,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/3481496468,Harmala,54.55,Low confidence,,,,,,Review required,85.0
7993,N0373,Meishiyeh (ne),Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/12384798778,Mesheirfat Shihab,48.28,Low confidence,,,,,,Review required,85.0
941,C7451,Meshrahah,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/3459354590,Ashrah,66.67,Low confidence,,,,,,Review required,85.0
8193,N0370,Msheirfeh (ne),Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/12384798778,Mesheirfat Shihab,55.17,Low confidence,,,,,,Review required,85.0
847,C4380,Msheirfet Elashmal,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/12384798778,Mesheirfat Shihab,68.57,Low confidence,,,,,,Review required,85.0
1193,C4377,Nurak,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/12390774172,Nurak,100.0,Exact,node/12390774172,Nurak,100.0,Exact,1.0,Accepted,85.0
5080,C4378,Qaber Amer,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/12365007343,Qabr Aamir,80.0,Review,,,,,,Review required,85.0
997,C4379,Qaber Elkhalif,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/12365007263,Qabr al-Khalif,85.71,High confidence,node/12365007263,Qabr al-Khalif,85.71,High confidence,1.0,Accepted,85.0
7950,N0378,Qosour - Al-Hasakeh (ne),Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/572568688,Al-Hasaka,55.17,Low confidence,,,,,,Review required,85.0
852,C4376,Qubbet Elsokhur,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/12365007228,Qubbat Mansur,64.29,Low confidence,,,,,,Review required,85.0
5137,C6435,Rad Shaqra,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/3483724831,Rad Shaqra,100.0,Exact,node/3483724831,Rad Shaqra,100.0,Exact,1.0,Accepted,85.0
892,C4346,Rafraf,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/3461384222,Rafraf,100.0,Exact,node/3461384222,Rafraf,100.0,Exact,1.0,Accepted,85.0
1354,C4333,Rahmaniya,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/3484095488,As-Suleimaniya,60.87,Low confidence,,,,,,Review required,85.0
1004,C4336,Razaza,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/12195483581,Az-Zaidiye,50.0,Low confidence,,,,,,Review required,85.0
1055,C4374,Rehiyeh Nameh,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/12312220861,Rehya an-Na'ma,59.26,Low confidence,,,,,,Review required,85.0
5632,C7511,Rojhilat,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/12390956440,Hilaliye,50.0,Low confidence,,,,,,Review required,85.0
849,C6445,Rujm Sirran,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/572575935,Umm Qasir al-Mejarja',51.61,Low confidence,,,,,,Review required,85.0
311,C4354,Safya,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/571229928,Safya,100.0,Exact,node/571229928,Safya,100.0,Exact,1.0,Accepted,85.0
1006,C4349,Salaliyeh,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/3483939537,As-Salaliye,80.0,Review,,,,,,Review required,85.0
8196,N0379,Salhiyeh - Al-Hasakeh (ne),Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/572568688,Al-Hasaka,58.06,Low confidence,,,,,,Review required,85.0
4731,C6320,Sarab Kawkab,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/571230324,Kawkab,66.67,Low confidence,,,,,,Review required,85.0
1106,C4369,Sayed Ali,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/12332346077,Sayyed Ali,94.74,High confidence,node/12332346077,Sayyed Ali,94.74,High confidence,1.0,Accepted,85.0
1331,C8623,Saysadah Al-Tahtaniyah,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/12255827193,Tell Aswad Tahtani,60.0,Low confidence,,,,,,Review required,85.0
4784,C4338,Shama,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/12332356264,Shama,100.0,Exact,node/12332356264,Shama,100.0,Exact,1.0,Accepted,85.0
1290,C8258,Shammah,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/12332356264,Shama,83.33,Review,,,,,,Review required,85.0
1357,C9003,Shil,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/3837556482,sh`yly@,60.0,Low confidence,,,,,,Review required,85.0
970,C7472,Shualiyah,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/572574685,Dakhiliyah,63.16,Low confidence,,,,,,Review required,85.0
4995,C9021,Shuniyah,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/3459354590,Ashrah,57.14,Low confidence,,,,,,Review required,85.0
1369,C7679,Sikhur,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/3483714062,Siha,60.0,Low confidence,,,,,,Review required,85.0
1074,C8153,Sodah Wa Abd,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/3483724831,Rad Shaqra,54.55,Low confidence,,,,,,Review required,85.0
1110,C4339,Sofya,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/12335082729,Sofya,100.0,Exact,node/12335082729,Sofya,100.0,Exact,1.0,Accepted,85.0
5581,C4370,Southern Lower Um Hajra,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/3481370811,Ain al-Hara,47.06,Low confidence,,,,,,Review required,85.0
1318,C9024,Subayy,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/571230276,Subayy,100.0,Exact,node/571230276,Subayy,100.0,Exact,1.0,Accepted,85.0
5401,C4368,Sulaymaniya,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/3484095488,As-Suleimaniya,72.0,Review,,,,,,Review required,85.0
912,C8613,Taban,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/3481378423,Abyad,60.0,Low confidence,,,,,,Review required,85.0
1070,C8187,Tal Abu Amshah,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/571230164,Abu `Amsha',78.26,Review,,,,,,Review required,85.0
921,C6448,Tal Al-Barod,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/12200019150,At-Tal'a,70.0,Review,,,,,,Review required,85.0
5200,C4371,Tal Baydar Haskeh,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/12263103274,Tell Baidar,57.14,Low confidence,,,,,,Review required,85.0
8272,N0376,Tal Hajar (ne),Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/3461371720,Al-Khama'el,69.57,Low confidence,,,,,,Review required,85.0
834,C8215,Tal Khalif,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/12365007263,Qabr al-Khalif,75.0,Review,,,,,,Review required,85.0
924,C4343,Tal Majdal,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/572574609,Tell Majdal,85.71,High confidence,node/572574609,Tell Majdal,85.71,High confidence,1.0,Accepted,85.0
1107,C4358,Tal Mansur Haskeh,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/12278174009,Tell Mansur,64.29,Low confidence,,,,,,Review required,85.0
1133,C8618,Tal Rujman,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/12219003620,Al-Madina,63.16,Low confidence,,,,,,Review required,85.0
1078,C4372,Tal Shaalan,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/12269435235,Tell Sha'lan,78.26,Review,,,,,,Review required,85.0
5374,C6779,Tal Tawel,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/572576042,Tall at Tawil,72.73,Review,,,,,,Review required,85.0
1370,C6772,Tal Zatar,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/3518825759,tl lz`tr,70.59,Review,,,,,,Review required,85.0
1005,C4342,Talaah,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/12200019150,At-Tal'a,57.14,Low confidence,,,,,,Review required,85.0
972,C7599,Tall Jamaylu,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/572575800,Tall Jamil,81.82,Review,,,,,,Review required,85.0
954,C7485,Tall Kabah,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/12200019150,At-Tal'a,66.67,Low confidence,,,,,,Review required,85.0
976,C7530,Tall Sakhr,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/3484101031,Tell al-Khadar,66.67,Low confidence,,,,,,Review required,85.0
1231,C7582,Tall Sharqi,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/572575670,Taban Sharqi,78.26,Review,,,,,,Review required,85.0
1136,C8617,Tall Tuwayna,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/572574557,Tall Tunaynir,80.0,Review,,,,,,Review required,85.0
4956,C6434,Tawk Al-Milh,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/3484148303,Twq lmlH,70.0,Review,,,,,,Review required,85.0
1358,C8923,Tell Jallad,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/572574609,Tell Majdal,72.73,Review,,,,,,Review required,85.0
1254,C8630,Tell Mujarja,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/12278174009,Tell Mansur,69.57,Low confidence,,,,,,Review required,85.0
1159,C8624,Tell Shaykh Amin,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/12269435235,Tell Sha'lan,78.57,Review,,,,,,Review required,85.0
1176,C6444,Tneinir,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/572574557,Tall Tunaynir,50.0,Low confidence,,,,,,Review required,85.0
472,C4351,Tweineh,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,SY080000,node/572575886,At-Tuweine,70.59,Review,,,,,,Review required,85.0
